id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,411,Umur dihitung sampai tanggal 2025-06-24,3,,8,1,2025-06-24 01:38:40.094747
2,410,*Keterangan :,3,,8,1,2025-06-24 01:38:45.365735
3,97,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (susenas mkp 2025),3,,10,1,2025-06-24 07:08:31.754142
4,96,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (susenas maret 2025),3,,10,1,2025-06-24 07:08:31.754176
5,95,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (sakernas november),3,,10,1,2025-06-24 07:08:31.754190
6,94,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (sakernas mei),3,,10,1,2025-06-24 07:08:31.754202
7,93,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (sakernas februari),3,,10,1,2025-06-24 07:08:31.754213
8,92,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan (sakernas agustus),3,,10,1,2025-06-24 07:08:31.754224
9,91,Tim Statistik Ketahanan Sosial - honor petugas pendataan lapangan (SPAK),3,,10,1,2025-06-24 07:08:31.754234
10,90,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan ( Survei Ekonomi Rumah Tangga Triwulanan (Seruti)),3,,10,1,2025-06-24 07:08:31.754244
11,89,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pendataan lapangan ( Survei Ekonomi Rumah Tangga Triwulanan (Seruti) terintegrasi Susenas),3,,10,1,2025-06-24 07:08:31.754253
12,88,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan updating listing (susenas maret 2025),3,,10,1,2025-06-24 07:08:31.754262
13,87,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan lapangan updating listing BS (sakernas agustus non organik),3,,10,1,2025-06-24 07:08:31.754272
14,86,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan lapangan updating listing BS (SUPAS 2025),3,,10,1,2025-06-24 07:08:31.754282
15,85,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan lapangan PAPI (SUPAS 2025),3,,10,1,2025-06-24 07:08:31.754292
16,84,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan lapangan (susenas maret 2025),3,,10,1,2025-06-24 07:08:31.754302
17,83,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat - honor petugas pemeriksaan lapangan (sakernas agustus non organik),3,,10,1,2025-06-24 07:08:31.754312
18,82,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pengolahan survei sknp barang,3,,10,1,2025-06-24 07:08:31.754321
19,81,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan survei pola distribusi barang,3,,10,1,2025-06-24 07:08:31.754331
20,80,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan survei perdagangan barang domestik,3,,10,1,2025-06-24 07:08:31.754340
21,79,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pengolahan survei penyusunan disagregasi pmtb di kab/kota (non pns),3,,10,1,2025-06-24 07:08:31.754350
22,78,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan survei SLK Koperasi Simpan Pinjam,3,,10,1,2025-06-24 07:08:31.754359
23,77,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pengolahan survei SKTNP Jasa,3,,10,1,2025-06-24 07:08:31.754369
24,76,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pengolahan survei SKPS,3,,10,1,2025-06-24 07:08:31.754378
25,75,Tim Statistik Distribusi dan Niaga Jasa - Honor petugas pengolahan survei Keuangan Desa,3,,10,1,2025-06-24 07:08:31.754388
26,74,Tim Neraca Wilayah dan Analisis Statistik - Honor petugas pengolahan survei In-depth Study SEEA,3,,10,1,2025-06-24 07:08:31.754397
27,73,"Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 4, HK 5, dan HK 6)",3,,10,1,2025-06-24 07:08:31.754406
28,72,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 3 outlet),3,,10,1,2025-06-24 07:08:31.754416
29,71,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.2 pasar),3,,10,1,2025-06-24 07:08:31.754426
30,70,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.2 outlet),3,,10,1,2025-06-24 07:08:31.754435
31,69,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.1 pasar),3,,10,1,2025-06-24 07:08:31.754444
32,68,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.2 pasar),3,,10,1,2025-06-24 07:08:31.754454
33,67,Tim Inflasi - Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.2 outlet),3,,10,1,2025-06-24 07:08:31.754463
