id,app,name,applied
1,contenttypes,0001_initial,2025-06-23 04:31:11.233568
2,auth,0001_initial,2025-06-23 04:31:11.403294
3,admin,0001_initial,2025-06-23 04:31:11.593838
4,admin,0002_logentry_remove_auto_add,2025-06-23 04:31:11.700359
5,admin,0003_logentry_add_action_flag_choices,2025-06-23 04:31:11.795971
6,contenttypes,0002_remove_content_type_name,2025-06-23 04:31:11.891538
7,auth,0002_alter_permission_name_max_length,2025-06-23 04:31:11.990111
8,auth,0003_alter_user_email_max_length,2025-06-23 04:31:12.099629
9,auth,0004_alter_user_username_opts,2025-06-23 04:31:12.184195
10,auth,0005_alter_user_last_login_null,2025-06-23 04:31:12.272929
11,auth,0006_require_contenttypes_0002,2025-06-23 04:31:12.353709
12,auth,0007_alter_validators_add_error_messages,2025-06-23 04:31:12.452329
13,auth,0008_alter_user_username_max_length,2025-06-23 04:31:12.550419
14,auth,0009_alter_user_last_name_max_length,2025-06-23 04:31:12.644553
15,auth,0010_alter_group_name_max_length,2025-06-23 04:31:12.724145
16,auth,0011_update_proxy_permissions,2025-06-23 04:31:12.799034
17,auth,0012_alter_user_first_name_max_length,2025-06-23 04:31:12.880757
18,sessions,0001_initial,2025-06-23 04:31:13.072002
19,pekerjaan,0001_initial,2025-06-23 07:00:03.422466
20,pekerjaan,0002_mitra,2025-06-24 01:23:13.221502
21,pekerjaan,0003_timkegiatan,2025-06-24 02:45:40.800903
22,pekerjaan,0004_bebanhonor,2025-06-24 06:09:47.039153
