id,nama_tim,nama_kegiatan
1,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengumpulan Data KSA Padi
2,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengumpulan Data KSA Jagung
3,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengumpulan Data Ubinan Padi
4,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengumpulan Data Ubinan Palawija
5,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengolahan Data Ubinan Palawija
6,Tim Statistik Pertanian Tanaman Pangan dan KSA,Updating/Listing Ubinan Palawija
7,Tim Statistik Pertanian Tanaman Pangan dan KSA,Pengolahan Updating/Listing Ubinan Palawija
8,Tim Statistik Industri dan PEK,Pengumpulan Data IBS Bulanan
9,Tim Statistik Industri dan PEK,Pengumpulan Data IBS Tahunan
10,Tim Statistik Industri dan PEK,Pengumpulan Data IMK Triwulanan
11,Tim Statistik Industri dan PEK,Pengumpulan Data IMK Tahunan
12,Tim Statistik Industri dan PEK,Updating DPA
13,Tim Statistik Industri dan PEK,Pengumpulan Data Perusahaan Air Bersih Tahunan
14,Tim Statistik Industri dan PEK,Pengumpulan Data Air Bersih Triwulanan
15,Tim Statistik Industri dan PEK,Updating DPE
16,Tim Statistik Industri dan PEK,Pengumpulan Data Perusahaan Non Migas Tahunan
17,Tim Statistik Industri dan PEK,Pengumpulan Data Perusahaan Galian BH
18,Tim Statistik Industri dan PEK,Pengumpulan Data Galian URT
19,Tim Statistik Industri dan PEK,Pengumpulan Data Captive Power
20,Tim Statistik Industri dan PEK,Pengumpulan Data SKTR
21,Tim Statistik Industri dan PEK,Pengumpulan Data SKTH
22,Tim Statistik Industri dan PEK,UDP Konstruksi
23,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat,Pengumpulan Data Susenas
24,Tim Statistik Tenaga Kerja Kependudukan dan Kesejahteraan Rakyat,Pengumpulan Data Sakernas
